activity_label,ax1,ay1,az1,gx1,gy1,gz1,mx1,my1,mz1,ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,ax3,ay3,az3,gx3,gy3,gz3,mx3,my3,mz3
1,1.47825,9.71821,-1.46131,0.0289,-0.0318,0.02241,10.46674,-29.17128,-22.20522,1.05345,9.57681,-0.45969,-0.00548,-0.01215,0.08353,-1.31073,-37.70142,-28.39508,-2.45216,-7.6272,4.57731,-0.0242,0.34811,0.02457,-6.77275,18.5289,-40.29034
1,1.26744,9.74216,-1.38465,-0.02542,0.01825,-0.00315,10.58949,-29.24525,-22.45329,1.14922,9.67258,-0.5363,-0.00121,0.01555,0.01003,-0.18616,-37.70142,-30.5191,-1.09153,-8.29794,4.72104,0.00776,-0.01621,0.14601,-6.83484,19.5312,-40.60327
1,1.45429,9.60801,-1.2505,-0.02222,0.01719,0.0107,10.71494,-29.64156,-21.83907,1.0726,9.67258,-0.47884,-0.0076,0.04218,0.01428,0.56458,-38.07526,-30.0827,-1.5275,-8.46562,4.75937,-0.02313,0.26715,0.02564,-6.49733,19.0923,-40.88678
1,1.41357,9.61281,-1.33914,0.0044,0.04594,0.00111,10.41357,-29.02144,-22.02013,1.13007,9.67258,-0.47884,0.00305,0.03471,0.02174,0.87585,-37.70142,-29.26941,-1.87724,-8.37938,4.81207,-0.01994,-0.36455,-0.26305,-6.50813,16.9389,-39.37299
1,1.38003,9.74456,-1.43496,-0.00305,0.05127,0.01176,10.43676,-29.18951,-22.49187,1.09175,9.73004,-0.45969,0.01051,0.04857,0.03027,0.87585,-38.07526,-29.64478,-1.55146,-8.59977,5.05162,-0.01994,-0.24204,-0.25133,-6.45953,19.0587,-38.81409
1,1.33691,9.66311,-1.31279,-0.01157,0.05872,0.00005,10.40254,-29.26495,-22.51155,1.05345,9.61511,-0.57462,-0.00227,0.04857,0.01642,0.87585,-38.07526,-29.64478,-1.61374,-8.49437,4.70188,0.01735,0.21495,-0.16931,-9.01373,18.3813,-41.80383
1,1.39201,9.74935,-1.17145,-0.04246,0.06831,0.00644,10.30206,-29.60375,-22.75493,1.0726,9.73004,-0.65123,0.01051,0.03685,0.02174,0.87585,-37.70142,-28.83148,-2.3755,-8.53749,4.40484,0.02906,0.0754,-0.36638,-9.30804,18.37589,-40.47681
1,1.44471,9.84756,-1.2529,0.02038,0.08428,0.00218,10.47424,-29.84706,-22.94185,1.09175,9.59596,-0.40222,0.02861,0.04857,0.02814,0.56458,-37.32605,-28.83148,-1.95869,-8.41771,4.48629,0.0035,-0.27613,-0.2769,-4.90974,16.4472,-40.37512
1,1.47106,9.53854,-1.3559,0.02251,0.096,-0.00315,10.62892,-29.39456,-22.86388,1.32159,9.69173,-0.34477,0.03821,0.10289,0.04411,0.18921,-38.07526,-29.64478,-2.19345,-8.47999,4.745,-0.05829,-0.46149,-0.39514,-9.71034,16.4388,-42.52399
1,1.3944,9.52417,-1.23134,0.05872,0.0928,0.01922,10.66877,-29.90426,-22.2683,1.16837,9.67258,-0.51715,0.0446,0.12421,0.04305,0.56458,-38.07526,-28.39508,-2.38508,-8.18295,4.75458,-0.02846,-0.47534,-0.26412,-9.71034,16.4388,-42.52399
